Fecha,M0,INPC,Salarios
Ene 2005,286316544,58.3091603733014,195.16
Feb 2005,279564329,58.5034309913156,194.63
Mar 2005,275825983,58.7671209768338,194.45
Abr 2005,276956036,58.9764151893082,194.33
May 2005,278112056,58.8282514646358,197.07
Jun 2005,280510573,58.771783471666,196.89
Jul 2005,283356436,59.0017998833952,198.8
Ago 2005,274817999,59.0722553608615,198.1
Sep 2005,282416255,59.3090064873482,196.59
Oct 2005,285617810,59.4545799371139,195.72
Nov 2005,290467976,59.8824933517271,197.51
Dic 2005,336170628,60.2503123885007,198.74
Ene 2006,318762821,60.6036258857962,206.8
Feb 2006,312887900,60.6963577274618,206.35
Mar 2006,318737434,60.7725118097234,204.88
Abr 2006,318947484,60.8616172665192,205.19
May 2006,322761792,60.5906745112619,207.68
Jun 2006,332476522,60.6429980643804,207.09
Jul 2006,332395949,60.8092937134007,209.16
Ago 2006,323379951,61.1196086472422,208.65
Sep 2006,330006931,61.7366121300559,207.11
Oct 2006,328102761,62.0065187753508,206.05
Nov 2006,347457341,62.3318573036518,207.75
Dic 2006,389598029,62.6924235706863,209.09
Ene 2007,366845132,63.0162079340435,217.6
Feb 2007,359467149,63.1923466277105,217.06
Mar 2007,367419599,63.3291131427925,215.69
Abr 2007,360112644,63.2912951291521,215.73
May 2007,360167573,62.9825343602545,218.18
Jun 2007,366333029,63.0581703875346,217.93
Jul 2007,366909452,63.3260048129042,219.61
Ago 2007,368110488,63.5839961936272,219.08
Sep 2007,367457373,64.0777025908746,217.46
Oct 2007,365066599,64.3274050918955,216.47
Nov 2007,382476563,64.7812212555773,218.24
Dic 2007,430083620,65.0490556809461,219.15
Ene 2008,406075812,65.350563680104,227.84
Feb 2008,403489359,65.5448342981189,227.46
Mar 2008,398026815,66.0198907160361,227.37
Abr 2008,393177182,66.1701266606339,226.87
May 2008,399704282,66.0986350732053,229.75
Jun 2008,395564315,66.3721681033693,229.52
Jul 2008,403587145,66.7420593600682,232.19
Ago 2008,404530203,67.1274922662089,231.92
Sep 2008,403667261,67.5849348147597,229.92
Oct 2008,423986290,68.0454856931997,229.44
Nov 2008,436139450,68.8189417803872,230.76
Dic 2008,494399534,69.295552363249,232.03
Ene 2009,479743440,69.4561494074742,241.12
Feb 2009,475298869,69.6094936819603,241.49
Mar 2009,471496895,70.0099501825605,238.09
Abr 2009,470557461,70.2549901887493,238.24
May 2009,473941376,70.0503584711078,241.32
Jun 2009,468396002,70.1793541614693,240.9
Jul 2009,474788346,70.3705164495951,242.26
Ago 2009,464985981,70.5388843185408,241.55
Sep 2009,460350868,70.8927158708178,239.66
